exp_id	description	mean_rel_rmse	n1000	n2000	n5000	es_rel_rmse	epochs	status	decision	timestamp
0	baseline	20.65	22.51	22.97	16.47	85.70	94	ok	baseline	2026-03-16T00:18:18+01:00
1	channels=[64,128]	20.55	22.47	22.96	16.23	83.90	93	ok	keep	2026-03-16T00:33:17+01:00
2	channels=[64,128,256]	-	-	-	-	-	30	timeout	discard	2026-03-16T01:00:00+01:00
3	kernel_size=5+GPU	20.72	22.61	23.03	16.51	85.29	127	ok	discard	2026-03-16T01:05:04+01:00
4	dropout=0.3	20.55	22.52	22.96	16.18	86.10	131	ok	discard	2026-03-16T01:07:00+01:00
5	lr=0.002	20.48	22.41	22.85	16.18	86.64	115	ok	keep	2026-03-16T01:09:00+01:00
6	lr=0.005	20.62	22.47	22.87	16.52	87.26	97	ok	discard	2026-03-16T01:11:00+01:00
7	batch_size=128	20.59	22.56	22.98	16.22	85.31	90	ok	discard	2026-03-16T01:13:00+01:00
8	patience=50	20.48	22.41	22.85	16.18	86.64	135	ok	discard	2026-03-16T01:15:00+01:00
9	GELU activation	20.71	22.61	23.04	16.48	86.03	90	ok	discard	2026-03-16T01:17:00+01:00
10	pot weights=[2,1,1]	20.48	22.41	22.85	16.18	86.64	115	ok	discard	2026-03-16T01:19:00+01:00
11	2-layer head hidden=64	20.38	22.64	22.67	15.82	85.93	80	ok	keep	2026-03-16T01:21:00+01:00
12	wider head hidden=128	20.27	22.62	22.50	15.70	87.97	90	ok	keep	2026-03-16T01:23:00+01:00
13	avg+max pooling	20.32	22.64	22.51	15.81	87.17	95	ok	discard	2026-03-16T01:25:00+01:00
14	channels=[48,96]	20.35	22.52	22.73	15.81	84.45	79	ok	discard	2026-03-16T01:27:00+01:00
15	grad clipping max_norm=1.0	20.27	22.62	22.50	15.70	87.97	90	ok	discard	2026-03-16T01:29:00+01:00
16	AdamW wd=1e-2	20.27	22.67	22.55	15.59	85.77	83	ok	discard	2026-03-16T01:31:00+01:00
17	residual connections	20.35	22.76	22.47	15.81	84.28	100	ok	discard	2026-03-16T01:33:00+01:00
18	dropout=0.15	20.19	22.63	22.37	15.57	85.58	121	ok	keep	2026-03-16T01:35:00+01:00
18r	real-validation	cnn_vr=0.03	baseline_vr=0.03	cnn_mf_p=0.41	baseline_mf_p=0.01	-	-	ok	real-check	2026-03-16T02:10:00+01:00
19	dropout=0.1	20.23	22.60	22.42	15.67	86.38	109	ok	discard	2026-03-16T02:12:00+01:00
20	kernel_size=9	20.33	22.59	22.59	15.80	86.97	97	ok	discard	2026-03-16T02:14:00+01:00
21	batch_size=32	20.27	22.70	22.43	15.68	89.28	114	ok	discard	2026-03-16T02:16:00+01:00
22	SiLU activation	20.30	22.52	22.53	15.86	84.94	100	ok	discard	2026-03-16T02:18:00+01:00
23	CosineAnnealWarmRestarts	20.37	22.66	22.60	15.85	85.52	83	ok	discard	2026-03-16T02:20:00+01:00
24	MSELoss	20.14	22.62	22.27	15.54	84.57	95	ok	keep	2026-03-16T02:22:00+01:00
25	features=[0,1,4,5,6]	20.58	22.51	22.67	16.56	89.44	120	ok	discard	2026-03-16T02:24:00+01:00
26	channels=[32,64,128]	20.30	22.56	22.57	15.77	87.39	83	ok	discard	2026-03-16T02:26:00+01:00
27	wider head=256	20.34	22.70	22.72	15.61	85.89	83	ok	discard	2026-03-16T02:28:00+01:00
28	lr=0.003	20.27	22.75	22.39	15.66	88.41	116	ok	discard	2026-03-16T02:30:00+01:00
29	LeakyReLU(0.1) conv	20.33	22.65	22.63	15.72	84.88	72	ok	discard	2026-03-16T02:32:00+01:00
30	spatial Dropout1d	20.32	22.64	22.54	15.77	84.13	98	ok	discard	2026-03-16T02:34:00+01:00
31	backbone_lr_factor=0.5	20.14	22.62	22.27	15.54	84.57	95	ok	discard	2026-03-16T02:36:00+01:00
32	no transfer learning	20.14	22.62	22.27	15.54	84.57	95	ok	discard	2026-03-16T02:38:00+01:00
33	channels=[96,192]	20.23	22.55	22.48	15.67	85.60	87	ok	discard	2026-03-16T02:40:00+01:00
34	SE attention	20.25	22.77	22.34	15.65	84.18	95	ok	discard	2026-03-16T02:42:00+01:00
35	HuberLoss delta=0.1	20.27	22.75	22.45	15.60	87.79	153	ok	discard	2026-03-16T02:44:00+01:00
36	3-layer head	20.35	22.61	22.62	15.82	84.66	83	ok	discard	2026-03-16T02:46:00+01:00
37	BatchNorm in head	20.23	22.60	22.48	15.60	86.00	95	ok	discard	2026-03-16T02:48:00+01:00
38	max_epochs=800+patience=50	20.14	22.62	22.27	15.54	84.57	115	ok	discard	2026-03-16T02:50:00+01:00
39	noise augment std=0.01	20.38	22.76	22.58	15.79	85.88	83	ok	discard	2026-03-16T02:52:00+01:00
40	RAdam optimizer	20.23	22.52	22.42	15.76	85.57	95	ok	discard	2026-03-16T02:54:00+01:00
41	scheduler patience=10	20.21	22.73	22.42	15.48	85.10	130	ok	discard	2026-03-16T02:56:00+01:00
42	kernel_size=3	20.27	22.54	22.64	15.63	85.82	85	ok	discard	2026-03-16T02:58:00+01:00
43	channels=[128,256]	20.26	22.56	22.56	15.65	84.43	80	ok	discard	2026-03-16T03:00:00+01:00
44	Conv-BN-ReLU order	20.37	22.70	22.75	15.67	85.55	94	ok	discard	2026-03-16T03:02:00+01:00
45	pot weights=[1,2,1]	20.14	22.62	22.27	15.54	84.57	95	ok	discard	2026-03-16T03:04:00+01:00
46	kernel_size=11	20.41	22.73	22.65	15.84	86.96	96	ok	discard	2026-03-16T03:06:00+01:00
47	Inception multi-scale	20.34	22.62	22.57	15.83	84.73	93	ok	discard	2026-03-16T03:08:00+01:00
48	AdamW wd=1e-4	20.17	22.64	22.33	15.53	85.09	109	ok	discard	2026-03-16T03:10:00+01:00
49	lr=0.0015	20.31	22.70	22.63	15.60	86.04	83	ok	discard	2026-03-16T03:12:00+01:00
50	Mixup alpha=0.2	20.41	22.56	22.61	16.07	84.90	81	ok	discard	2026-03-16T03:14:00+01:00
51	channels=[64,64]	20.40	22.69	22.62	15.89	84.48	95	ok	discard	2026-03-16T03:16:00+01:00
52	dropout=0.12	20.30	22.72	22.50	15.67	86.13	95	ok	discard	2026-03-16T02:26:13+01:00
53	AdamW+grad clip combo	20.17	22.64	22.33	15.53	85.09	109	ok	discard	2026-03-16T02:27:56+01:00
54	lr=0.0025	20.30	22.75	22.53	15.61	86.31	90	ok	discard	2026-03-16T02:29:27+01:00
55	Hardtanh(0,1)	20.33	22.72	22.46	15.81	84.53	90	ok	discard	2026-03-16T02:31:06+01:00
56	LR factor=0.3	20.18	22.59	22.39	15.55	84.69	99	ok	discard	2026-03-16T02:32:34+01:00
57	LR factor=0.3+patience=8	20.22	22.63	22.32	15.72	85.35	90	ok	discard	2026-03-16T02:34:06+01:00
58	channels=[64,128,64]	20.36	22.66	22.67	15.76	86.07	84	ok	discard	2026-03-16T02:35:44+01:00
59	dropout=0.18	20.27	22.72	22.48	15.60	88.08	117	ok	discard	2026-03-16T02:37:20+01:00
60	LR factor=0.3+patience=40	20.18	22.59	22.39	15.55	84.69	109	ok	discard	2026-03-16T02:38:57+01:00
61	double dropout head	20.34	22.63	22.61	15.78	87.34	95	ok	discard	2026-03-16T02:40:32+01:00
62	GroupNorm(1)/LayerNorm	20.26	22.68	22.18	15.92	85.59	85	ok	discard	2026-03-16T02:42:12+01:00
63	no normalization	20.43	22.71	22.57	16.01	85.24	83	ok	discard	2026-03-16T02:43:46+01:00
64	dilated convolutions	20.39	22.75	22.54	15.89	87.70	83	ok	discard	2026-03-16T02:45:12+01:00
65	L1Loss	20.22	22.67	22.64	15.35	87.09	123	ok	discard	2026-03-16T02:46:48+01:00
66	HuberLoss delta=0.05	20.29	22.81	22.53	15.52	86.26	104	ok	discard	2026-03-16T02:48:20+01:00
67	blended 0.7MSE+0.3L1	20.30	22.76	22.46	15.68	88.07	149	ok	discard	2026-03-16T02:50:06+01:00
68	channels=[80,160]	20.30	22.56	22.49	15.84	85.23	88	ok	discard	2026-03-16T02:51:54+01:00
69	kaiming+xavier init	20.30	22.62	22.54	15.73	84.13	95	ok	discard	2026-03-16T02:53:27+01:00
70	SWA after epoch 30	20.21	22.53	22.45	15.65	85.42	95	ok	discard	2026-03-16T02:55:14+01:00
71	ELU activation	20.33	22.71	22.51	15.78	85.25	122	ok	discard	2026-03-16T02:56:57+01:00
72	option1: 12ch derived	20.35	22.71	22.57	15.76	85.87	85	ok	discard	2026-03-16T22:45:23+01:00
73	option2: 64x64 images	20.77	22.46	22.62	17.23	83.80	44	ok	discard	2026-03-16T22:50:28+01:00
74	option3: summary stats	20.31	22.44	22.46	16.04	84.78	46	ok	discard	2026-03-16T22:56:26+01:00
